config_id,seed,epoch,train_loss,train_acc,val_loss,val_acc,epoch_time
lr0.001_bs64_dr0.0_ls0.1,42,41,0.7144,0.9952,0.7326,0.9887,30.86
lr0.001_bs64_dr0.0_ls0.1,42,42,0.7120,0.9960,0.7205,0.9924,30.91
lr0.001_bs64_dr0.0_ls0.1,42,43,0.7122,0.9959,0.7292,0.9896,30.92
lr0.001_bs64_dr0.0_ls0.1,42,44,0.7134,0.9949,0.7248,0.9917,30.90
lr0.001_bs64_dr0.0_ls0.1,42,45,0.7102,0.9964,0.7247,0.9908,30.92
lr0.001_bs64_dr0.0_ls0.1,42,46,0.7105,0.9959,0.7228,0.9912,30.90
lr0.001_bs64_dr0.0_ls0.1,42,47,0.7108,0.9959,0.7205,0.9915,30.68
lr0.001_bs64_dr0.0_ls0.1,42,48,0.7107,0.9958,0.7231,0.9917,30.73
lr0.001_bs64_dr0.0_ls0.1,42,49,0.7031,0.9979,0.7166,0.9926,30.73
lr0.001_bs64_dr0.0_ls0.1,42,50,0.7016,0.9984,0.7156,0.9933,30.72
lr0.001_bs64_dr0.0_ls0.1,42,51,0.7021,0.9982,0.7125,0.9940,31.03
lr0.001_bs64_dr0.0_ls0.1,42,52,0.7013,0.9983,0.7152,0.9937,31.00
lr0.001_bs64_dr0.0_ls0.1,42,53,0.7010,0.9985,0.7150,0.9930,30.98
lr0.001_bs64_dr0.0_ls0.1,42,54,0.7015,0.9984,0.7173,0.9928,31.02
lr0.001_bs64_dr0.0_ls0.1,42,55,0.7007,0.9985,0.7132,0.9937,31.01
lr0.001_bs64_dr0.0_ls0.1,42,56,0.7008,0.9984,0.7128,0.9939,31.00
lr0.001_bs64_dr0.0_ls0.1,42,57,0.7000,0.9986,0.7143,0.9937,31.03
lr0.001_bs64_dr0.0_ls0.1,42,58,0.6989,0.9989,0.7135,0.9933,30.96
lr0.001_bs64_dr0.0_ls0.1,42,59,0.6982,0.9991,0.7102,0.9944,31.11
lr0.001_bs64_dr0.0_ls0.1,42,60,0.6975,0.9994,0.7094,0.9946,31.49
lr0.001_bs64_dr0.0_ls0.1,42,61,0.6977,0.9992,0.7103,0.9946,31.48
lr0.001_bs64_dr0.0_ls0.1,42,62,0.6972,0.9994,0.7101,0.9947,31.46
lr0.001_bs64_dr0.0_ls0.1,42,63,0.6974,0.9992,0.7089,0.9947,31.19
lr0.001_bs64_dr0.0_ls0.1,42,64,0.6969,0.9994,0.7126,0.9939,31.19
lr0.001_bs64_dr0.0_ls0.1,42,65,0.6972,0.9992,0.7099,0.9944,31.18
lr0.001_bs64_dr0.0_ls0.1,42,66,0.6973,0.9992,0.7098,0.9947,31.24
lr0.001_bs64_dr0.0_ls0.1,42,67,0.6967,0.9994,0.7106,0.9947,30.97
lr0.001_bs64_dr0.0_ls0.1,42,68,0.6968,0.9994,0.7093,0.9949,31.04
lr0.001_bs64_dr0.0_ls0.1,42,69,0.6972,0.9992,0.7102,0.9949,31.04
lr0.001_bs64_dr0.0_ls0.1,42,70,0.6962,0.9996,0.7065,0.9956,31.04
lr0.001_bs64_dr0.0_ls0.1,42,71,0.6959,0.9997,0.7084,0.9953,31.02
lr0.001_bs64_dr0.0_ls0.1,42,72,0.6960,0.9995,0.7097,0.9951,30.96
lr0.001_bs64_dr0.0_ls0.1,42,73,0.6958,0.9996,0.7068,0.9954,30.99
lr0.001_bs64_dr0.0_ls0.1,42,74,0.6955,0.9997,0.7075,0.9951,31.01
lr0.001_bs64_dr0.0_ls0.1,42,75,0.6958,0.9995,0.7101,0.9947,30.99
lr0.001_bs64_dr0.0_ls0.1,42,76,0.6955,0.9997,0.7074,0.9957,31.00
lr0.001_bs64_dr0.0_ls0.1,42,77,0.6955,0.9996,0.7086,0.9949,30.98
lr0.001_bs64_dr0.0_ls0.1,42,78,0.6953,0.9998,0.7075,0.9952,30.94
lr0.001_bs64_dr0.0_ls0.1,42,79,0.6954,0.9997,0.7090,0.9955,30.95
lr0.001_bs64_dr0.0_ls0.1,42,80,0.6952,0.9997,0.7076,0.9954,30.83
